x	y	z	timestamp
-0.3	-0.7	-3.5	1688662584306
-1.7	-1.0	-2.5	1688662584326
-1.9	-1.1	-1.9	1688662584346
-1.6	-0.0	-1.4	1688662584366
-2.1	-0.4	-0.3	1688662584386
-3.0	-0.8	-0.1	1688662584406
-3.0	0.5	1.2	1688662584426
-4.0	-0.7	2.0	1688662584446
-4.7	-1.2	2.5	1688662584466
-4.8	0.9	3.4	1688662584486
-5.4	0.5	5.5	1688662584506
-7.7	-1.1	7.0	1688662584526
-7.7	0.4	8.6	1688662584546
-7.2	1.6	11.9	1688662584566
-5.2	2.0	16.6	1688662584586
-5.1	-2.4	11.6	1688662584606
-8.1	-1.1	11.5	1688662584626
-7.1	-3.0	10.3	1688662584646
-7.7	-3.4	7.6	1688662584666
-7.3	-1.7	5.7	1688662584686
-6.7	-2.7	4.8	1688662584706
-6.2	-2.3	3.8	1688662584726
-5.7	-1.9	3.4	1688662584746
-5.5	-1.7	2.4	1688662584766
-4.9	-1.7	0.9	1688662584786
-4.3	-1.0	0.0	1688662584806
-3.8	-1.2	-0.5	1688662584826
-3.1	-1.5	-0.6	1688662584846
-2.8	-1.6	-0.1	1688662584866
-2.7	-1.3	-1.7	1688662584886
-1.7	-0.9	-3.4	1688662584906
-0.9	-1.1	-6.0	1688662584926
-0.5	-1.0	-5.3	1688662584946
-0.5	-3.5	-2.9	1688662584966
0.2	-3.1	-4.2	1688662584986
3.8	-1.6	-12.6	1688662585006
6.3	-3.1	-12.3	1688662585026
6.1	-4.9	-6.8	1688662585046
5.3	-4.5	-11.1	1688662585066
9.8	-5.6	-15.8	1688662585086
11.2	-3.7	-17.2	1688662585106
9.4	-5.9	-14.0	1688662585126
9.0	-6.4	-11.4	1688662585146
10.5	-4.6	-12.1	1688662585166
10.1	-5.1	-12.6	1688662585186
10.1	-5.2	-12.2	1688662585206
10.3	-5.9	-11.1	1688662585226
10.0	-6.0	-8.1	1688662585246
5.4	-4.0	-11.0	1688662585266
3.8	-4.4	-10.3	1688662585286
3.8	-3.9	-8.8	1688662585306
2.8	-2.8	-8.7	1688662585326
2.4	-3.2	-7.8	1688662585346
1.5	-2.8	-5.7	1688662585366
0.4	-1.1	-5.6	1688662585386
5.4	-4.0	-11.0	1688662585406
3.8	-4.4	-10.3	1688662585426
3.8	-3.9	-8.8	1688662585446
2.8	-2.8	-8.7	1688662585466
2.4	-3.2	-7.8	1688662585486
1.5	-2.8	-5.7	1688662585506
0.4	-1.1	-5.6	1688662585526
5.4	-4.0	-11.0	1688662585546
3.8	-4.4	-10.3	1688662585566
3.8	-3.9	-8.8	1688662585586
2.8	-2.8	-8.7	1688662585606
2.4	-3.2	-7.8	1688662585626
1.5	-2.8	-5.7	1688662585646
0.4	-1.1	-5.6	1688662585666
5.4	-4.0	-11.0	1688662585686
3.8	-4.4	-10.3	1688662585706
3.8	-3.9	-8.8	1688662585726
2.8	-2.8	-8.7	1688662585746
2.4	-3.2	-7.8	1688662585766
1.5	-2.8	-5.7	1688662585786
0.4	-1.1	-5.6	1688662585806
1.1	-2.0	-5.0	1688662585826
-0.3	-1.1	-3.2	1688662585846
-1.4	-0.6	-2.5	1688662585866
-2.0	-0.1	-2.4	1688662585886
-2.0	-0.9	-2.0	1688662585906
-2.2	-0.2	-0.7	1688662585926
-2.9	0.2	0.7	1688662585946
1.1	-2.0	-5.0	1688662585966
-0.3	-1.1	-3.2	1688662585986
-1.4	-0.6	-2.5	1688662586006
-2.0	-0.1	-2.4	1688662586026
-2.0	-0.9	-2.0	1688662586046
-2.2	-0.2	-0.7	1688662586066
-2.9	0.2	0.7	1688662586086
-4.2	-1.2	1.3	1688662586106
-5.0	-0.7	1.2	1688662586126
-5.1	-0.1	3.0	1688662586146
-6.8	-1.4	4.2	1688662586166
-7.9	-0.9	5.8	1688662586186
-7.7	-2.0	7.5	1688662586206
-8.1	-1.9	8.9	1688662586226
-7.9	-2.1	9.9	1688662586246
-7.4	-2.2	10.8	1688662586266
-7.1	-2.3	10.2	1688662586286
-6.9	-2.3	9.6	1688662586306
-7.2	-2.5	8.6	1688662586326
-7.3	-1.6	7.4	1688662586346
-7.1	-1.7	5.7	1688662586366
-6.7	-1.2	4.8	1688662586386
-6.7	-0.6	4.1	1688662586406
-6.5	-0.5	3.1	1688662586426
-6.6	0.2	2.3	1688662586446
-6.3	-0.1	2.5	1688662586466
-6.1	-0.4	1.7	1688662586486
-5.6	0.1	0.7	1688662586506
-5.3	0.4	0.1	1688662586526
-5.2	-0.2	-0.3	1688662586546
-4.5	-0.4	-0.7	1688662586566
-3.9	-0.4	-0.3	1688662586586
-2.9	-1.0	-2.7	1688662586606
-0.9	-1.2	-5.7	1688662586626
-0.2	-1.5	-5.1	1688662586646
-1.3	-1.9	-1.8	1688662586666
-1.2	-2.2	-4.6	1688662586686
2.0	-1.7	-7.9	1688662586706
3.5	-3.2	-11.1	1688662586726
4.2	-4.5	-7.8	1688662586746
4.2	-4.9	-7.8	1688662586766
5.9	-5.0	-12.9	1688662586786
9.2	-6.1	-13.6	1688662586806
8.8	-5.7	-13.9	1688662586826
9.4	-6.6	-14.5	1688662586846
10.3	-7.0	-14.2	1688662586866
10.8	-6.4	-11.6	1688662586886
9.9	-4.8	-10.5	1688662586906
10.1	-6.4	-11.6	1688662586926
11.1	-7.2	-11.5	1688662586946
9.7	-6.1	-9.7	1688662586966
9.4	-5.7	-9.3	1688662586986
11.3	-6.9	-11.2	1688662587006
11.0	-6.6	-11.1	1688662587026
10.4	-5.3	-8.9	1688662587046
10.1	-5.0	-9.3	1688662587066
10.9	-5.7	-10.2	1688662587086
9.0	-4.8	-9.8	1688662587106
8.5	-4.1	-11.1	1688662587126
8.2	-4.9	-11.0	1688662587146
7.8	-6.4	-11.8	1688662587166
7.5	-5.7	-12.6	1688662587186
7.4	-5.3	-12.7	1688662587206
8.3	-5.3	-13.7	1688662587226
8.0	-4.6	-13.0	1688662587246
8.4	-4.7	-13.4	1688662587266
9.6	-4.7	-13.7	1688662587286
10.8	-5.1	-13.9	1688662587306
12.0	-4.5	-13.6	1688662587326
12.2	-5.1	-13.8	1688662587346
12.7	-4.9	-13.8	1688662587366
12.7	-4.9	-13.8	1688662587386
12.1	-4.1	-14.3	1688662587406
11.8	-4.6	-14.7	1688662587426
10.6	-4.0	-13.4	1688662587446
9.5	-4.3	-12.4	1688662587466
7.9	-3.1	-13.2	1688662587486
7.8	-4.3	-11.9	1688662587506
6.6	-3.4	-11.9	1688662587526
6.2	-3.4	-10.6	1688662587546
3.8	-2.2	-8.6	1688662587566
2.8	-2.3	-9.0	1688662587586
3.0	-1.9	-8.2	1688662587606
1.6	-1.5	-7.0	1688662587626
0.6	-1.2	-5.8	1688662587646
0.1	-0.3	-3.7	1688662587666
-1.4	0.0	-3.6	1688662587686
-1.6	-1.1	-4.0	1688662587706
-1.7	-0.4	-1.7	1688662587726
-2.7	0.5	-1.5	1688662587746
-2.5	-1.1	-1.1	1688662587766
-3.1	-0.5	-1.2	1688662587786
-3.4	-0.9	1.0	1688662587806
-4.4	-1.7	1.4	1688662587826
-4.9	-1.4	2.0	1688662587846
-6.1	-0.8	2.7	1688662587866
-7.0	-3.3	3.5	1688662587886
-8.4	-3.9	5.2	1688662587906
-9.0	-3.8	6.1	1688662587926
-8.7	-1.0	7.1	1688662587946
-8.5	-3.8	9.9	1688662587966
-8.5	-3.7	8.4	1688662587986
-7.0	-0.6	9.6	1688662588006
-6.2	-0.7	9.7	1688662588026
-7.3	-1.8	9.2	1688662588046
-7.0	-0.5	8.0	1688662588066
-6.5	-0.1	6.3	1688662588086
-6.3	-0.3	5.2	1688662588106
-6.6	0.3	4.8	1688662588126
-6.5	0.1	4.2	1688662588146
-6.1	-0.1	3.5	1688662588166
-6.3	-0.0	3.5	1688662588186
-6.4	-0.2	2.8	1688662588206
-5.9	-0.0	1.7	1688662588226
-5.5	-0.5	1.3	1688662588246
-5.4	-0.6	1.1	1688662588266
-5.5	-0.4	0.2	1688662588286
-5.2	-0.9	0.3	1688662588306
-4.5	-1.8	-1.6	1688662588326
-4.2	-0.9	-2.1	1688662588346
-3.5	-1.6	-2.5	1688662588366
-3.0	-2.4	-3.8	1688662588386
-2.7	-3.3	-3.5	1688662588406
-1.3	-3.7	-5.1	1688662588426
0.2	-3.0	-9.0	1688662588446
1.3	-3.8	-11.7	1688662588466
2.6	-3.4	-2.9	1688662588486
2.1	-6.9	-6.1	1688662588506
6.4	-4.9	-9.2	1688662588526
9.2	-5.7	-10.3	1688662588546
8.4	-4.2	-13.0	1688662588566
10.5	-6.1	-10.9	1688662588586
10.7	-7.6	-8.0	1688662588606
11.1	-6.1	-11.9	1688662588626
13.5	-6.2	-12.0	1688662588646
13.4	-6.6	-11.9	1688662588666
12.5	-5.7	-9.5	1688662588686
12.2	-5.5	-8.4	1688662588706
12.3	-6.0	-9.0	1688662588726
11.9	-5.9	-9.4	1688662588746
10.9	-4.6	-9.9	1688662588766
10.5	-5.1	-10.5	1688662588786
10.3	-4.9	-10.3	1688662588806
10.3	-5.4	-9.6	1688662588826
9.9	-5.0	-9.2	1688662588846
8.8	-4.4	-8.1	1688662588866
9.2	-6.1	-11.0	1688662588886
8.8	-5.3	-12.1	1688662588906
8.3	-5.8	-12.4	1688662588926
7.9	-5.1	-9.6	1688662588946
7.8	-5.5	-10.8	1688662588966
8.1	-5.0	-11.5	1688662588986
8.4	-4.7	-11.5	1688662589006
9.3	-4.5	-10.7	1688662589026
9.7	-4.6	-10.7	1688662589046
10.4	-4.6	-11.5	1688662589066
10.8	-4.4	-10.6	1688662589086
11.3	-4.9	-11.5	1688662589106
12.2	-5.1	-11.6	1688662589126
12.1	-5.2	-12.5	1688662589146
12.9	-4.8	-12.3	1688662589166
5.5	-3.5	-9.6	1688662589186
4.1	-3.4	-9.5	1688662589206
3.5	-4.7	-7.9	1688662589226
2.0	-2.5	-8.3	1688662589246
1.8	-2.3	-6.6	1688662589266
0.4	-3.1	-7.5	1688662589286
0.3	-2.1	-5.8	1688662589306
-0.7	-1.6	-5.0	1688662589326
-0.9	-2.0	-5.5	1688662589346
-1.6	-2.1	-3.7	1688662589366
-3.1	-1.3	-3.3	1688662589386
-3.4	-0.7	-2.8	1688662589406
-3.7	-0.9	-2.5	1688662589426
-4.3	-1.4	-1.7	1688662589446
-0.7	-1.6	-5.0	1688662589466
-0.9	-2.0	-5.5	1688662589486
-1.6	-2.1	-3.7	1688662589506
-3.1	-1.3	-3.3	1688662589526
-3.4	-0.7	-2.8	1688662589546
-3.7	-0.9	-2.5	1688662589566
-4.3	-1.4	-1.7	1688662589586
-4.4	-0.5	-0.4	1688662589606
-5.3	0.5	0.3	1688662589626
-6.2	-1.5	0.7	1688662589646
-6.7	-1.5	1.3	1688662589666
-7.5	0.4	3.1	1688662589686
-8.8	-1.4	4.0	1688662589706
-8.5	-2.6	4.8	1688662589726
-8.9	1.1	7.0	1688662589746
-9.6	0.1	8.4	1688662589766
-8.6	-2.6	7.8	1688662589786
-7.9	-2.1	8.8	1688662589806
-7.7	-0.9	8.8	1688662589826
-7.9	-1.4	8.2	1688662589846
-7.4	-1.6	7.4	1688662589866
-7.0	-1.7	6.3	1688662589886
-6.8	-1.6	4.8	1688662589906
-6.3	-1.5	3.9	1688662589926
-6.0	-0.9	3.0	1688662589946
-5.9	-0.7	2.4	1688662589966
-6.1	-0.6	2.1	1688662589986
-5.8	-0.6	1.5	1688662590006
-5.5	-0.7	1.1	1688662590026
-5.5	-0.8	0.8	1688662590046
-5.2	-1.1	0.7	1688662590066
-5.4	-0.6	-0.4	1688662590086
-4.8	-1.0	-1.2	1688662590106
-4.2	-0.8	-2.0	1688662590126
-3.7	-0.9	-1.6	1688662590146
-3.5	-2.5	-2.7	1688662590166
-2.8	-2.4	-3.7	1688662590186
-1.8	-1.2	-4.2	1688662590206
-1.2	-2.5	-7.7	1688662590226
0.2	-3.7	-8.4	1688662590246
1.6	-2.8	-7.0	1688662590266
2.2	-3.1	-9.3	1688662590286
4.2	-5.4	-11.1	1688662590306
5.1	-5.3	-10.5	1688662590326
6.2	-3.2	-11.6	1688662590346
7.8	-4.0	-12.5	1688662590366
8.8	-5.5	-12.0	1688662590386
9.4	-5.0	-10.9	1688662590406
9.2	-3.7	-11.6	1688662590426
11.2	-5.1	-12.3	1688662590446
10.8	-5.1	-11.2	1688662590466
