x	y	z	timestamp
15.8	-4.8	-2.5	1688891644248
14.0	-5.6	-0.5	1688891644268
12.7	-3.9	2.2	1688891644288
11.6	-1.8	4.0	1688891644308
13.5	1.8	4.9	1688891644328
15.7	2.7	5.8	1688891644348
14.5	3.7	4.3	1688891644368
12.4	3.3	3.5	1688891644388
11.1	2.3	3.2	1688891644408
10.0	0.1	2.8	1688891644428
10.1	1.1	1.8	1688891644448
8.7	2.1	1.2	1688891644468
7.7	-0.7	1.3	1688891644488
8.0	-1.8	1.1	1688891644508
9.2	-0.8	1.2	1688891644528
9.9	-0.3	0.4	1688891644548
10.6	-2.1	0.4	1688891644568
9.9	-3.2	0.0	1688891644588
9.8	-2.0	-0.1	1688891644608
10.9	-2.3	-1.1	1688891644628
11.2	-2.9	-0.8	1688891644648
10.6	-2.2	0.1	1688891644668
10.6	-5.2	0.2	1688891644688
10.4	-7.3	0.0	1688891644708
9.4	-7.4	0.7	1688891644728
10.6	-9.2	-3.2	1688891644748
13.3	-7.2	-5.9	1688891644768
15.6	-4.3	-4.9	1688891644788
14.7	-4.1	-3.3	1688891644808
14.6	-0.9	-1.2	1688891644828
13.7	2.8	1.7	1688891644848
13.0	4.5	2.2	1688891644868
13.1	3.3	2.0	1688891644888
14.0	1.0	1.8	1688891644908
14.6	1.4	2.0	1688891644928
12.1	1.4	2.0	1688891644948
11.9	4.2	1.9	1688891644968
10.2	6.5	1.8	1688891644988
10.4	5.0	0.8	1688891645008
10.6	1.9	-0.1	1688891645028
10.6	1.2	-0.3	1688891645048
11.3	1.7	-0.9	1688891645068
11.9	2.2	-0.7	1688891645088
11.5	2.9	-0.5	1688891645108
10.8	1.5	-1.2	1688891645128
11.1	0.5	-1.9	1688891645148
10.7	-0.6	-2.9	1688891645168
9.0	-0.3	-4.9	1688891645188
7.1	0.5	-4.0	1688891645208
5.7	-0.1	-3.5	1688891645228
6.3	-0.2	-4.1	1688891645248
8.9	2.3	-3.9	1688891645268
11.4	-0.8	-1.6	1688891645288
13.5	-2.4	2.4	1688891645308
14.0	-0.3	4.2	1688891645328
14.7	0.1	2.6	1688891645348
14.3	-4.8	-1.4	1688891645368
13.9	-12.5	-3.9	1688891645388
18.2	-3.5	-3.1	1688891645408
21.9	7.6	-0.6	1688891645428
